Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%
0-20%,Minor,0.9984,0.0016,0,0,0
0-20%,Significant,0.991,0.009,0,0,0
21-40%,Minor,0.3816,0.6184,0,0,0
21-40%,Significant,0.3314,0.6686,0,0,0
41-60%,Minor,0.15,0.5156,0.3344,0,0
41-60%,Significant,0.11,0.4832,0.4068,0,0
61-80%,Minor,0.1,0.12,0.5037,0.2762,0.0001
61-80%,Significant,0.09,0.13,0.37,0.4095,0.0005
81-100%,Minor,0.0149,0.0806,0.2968,0.33,0.2777
81-100%,Significant,0.0899,0.1309,0.1655,0.2146,0.3991
