Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%
0-20%,Minor,0.9989,0.0011,0,0,0
0-20%,Significant,0.9961,0.0039,0,0,0
21-40%,Minor,0.69,0.31,0,0,0
21-40%,Significant,0.6645,0.3355,0,0,0
41-60%,Minor,0.33,0.66,0.01,0,0
41-60%,Significant,0.314,0.671,0.015,0,0
61-80%,Minor,0.19,0.35,0.456,0.004,0
61-80%,Significant,0.17,0.348,0.4718,0.0102,0
81-100%,Minor,0.0374,0.305,0.4432,0.1998,0.0146
81-100%,Significant,0.1358,0.2585,0.2802,0.2268,0.0987
