Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%
0-20%,Minor,0.9988,0.0012,0,0,0
0-20%,Significant,0.9956,0.0044,0,0,0
21-40%,Minor,0.6691,0.3309,0,0,0
21-40%,Significant,0.6095,0.3905,0,0,0
41-60%,Minor,0.32,0.6044,0.0756,0,0
41-60%,Significant,0.291,0.65,0.059,0,0
61-80%,Minor,0.19,0.31,0.4802,0.0198,0
61-80%,Significant,0.16,0.3,0.437,0.103,0
81-100%,Minor,0.1524,0.2693,0.3243,0.2291,0.0249
81-100%,Significant,0.1446,0.2299,0.2505,0.2301,0.1449
