Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%
0-20%,Minor,0.9986,0.0014,0,0,0
0-20%,Significant,0.9932,0.0068,0,0,0
21-40%,Minor,0.4063,0.5937,0,0,0
21-40%,Significant,0.362,0.638,0,0,0
41-60%,Minor,0.27,0.6195,0.1105,0,0
41-60%,Significant,0.23,0.5998,0.1701,0.0001,0
61-80%,Minor,0.16,0.18,0.55,0.11,0
61-80%,Significant,0.1,0.19,0.57,0.14,0
81-100%,Minor,0.09,0.19,0.22,0.29,0.21
81-100%,Significant,0.0884,0.1704,0.2219,0.2568,0.2625
